content_type,deg_type,deg_label,psnr_degraded,psnr_restored,psnr_improvement,ssim_degraded,ssim_restored,ssim_improvement,steps_applied
text,gaussian_blur,gblur_heavy,21.88740160970928,18.634712900234064,-3.2526887094752155,0.923444591367806,0.9076071815509479,-0.015837409816858106,['wiener_deconvolution']
text,gaussian_blur,gblur_mild,23.01105646188159,18.356939465825562,-4.654116996056029,0.9396322760845659,0.9020138243253174,-0.037618451759248495,['wiener_deconvolution']
text,combined,combined_dark_blur,2.3825353241961102,7.149176166965079,4.766640842768968,0.27144109514907644,0.7531147976151352,0.4816737024660588,"['zero_dce_enhancement', 'wiener_deconvolution']"
text,combined,combined_moderate,3.4588672918241734,3.163427886304672,-0.29543940551950154,0.43627084369043606,0.3899539179573928,-0.046316925733043246,['wiener_deconvolution']
text,dark,dark_severe,3.1016512752684062,7.570053274296143,4.468401999027737,0.17646290928926062,0.6496532404274615,0.4731903311382009,"['zero_dce_enhancement', 'wiener_deconvolution']"
text,dark,dark_heavy,3.5923737426042424,10.483846125874617,6.891472383270375,0.26491552946247454,0.8698630650913888,0.6049475356289142,['zero_dce_enhancement']
text,dark,dark_moderate,4.666196191963461,4.666196191963461,0.0,0.4353439388457151,0.4353439388457151,0.0,['none_required']
text,dark,dark_mild,6.575853092466764,6.575853092466764,0.0,0.6576169873441017,0.6576169873441017,0.0,['none_required']
text,motion_blur,mblur_severe_h,19.819130425944596,19.819130425944596,0.0,0.8806399971499033,0.8806399971499033,0.0,['none_required']
text,motion_blur,mblur_moderate_h,20.790078266997043,20.790078266997043,0.0,0.8901845263786923,0.8901845263786923,0.0,['none_required']
text,motion_blur,mblur_moderate_d,20.700431320358803,20.700431320358803,0.0,0.8618075269770212,0.8618075269770212,0.0,['none_required']
text,motion_blur,mblur_mild_v,23.2600861415146,23.2600861415146,0.0,0.9154203265333714,0.9154203265333714,0.0,['none_required']
text,gaussian_blur,gblur_heavy,20.85228861524705,18.329729321359164,-2.5225592938878876,0.870714083286131,0.8472799048683533,-0.02343417841777773,['wiener_deconvolution']
text,gaussian_blur,gblur_mild,22.977268069558562,17.75806437321941,-5.219203696339154,0.9104988308519972,0.8387114133509318,-0.07178741750106543,['wiener_deconvolution']
text,combined,combined_dark_blur,3.568755441822389,9.144495555906268,5.575740114083879,0.2553914019283699,0.7542294023525364,0.49883800042416654,"['zero_dce_enhancement', 'wiener_deconvolution']"
text,combined,combined_moderate,4.621791365584574,4.339660981026966,-0.2821303845576084,0.40879857153195015,0.3633175440230265,-0.04548102750892363,['wiener_deconvolution']
mixed,dark,dark_severe,2.2158440436202196,6.217233547749489,4.0013895041292695,0.15916763111529295,0.5086820516714816,0.34951442055618864,"['zero_dce_enhancement', 'wiener_deconvolution']"
mixed,dark,dark_heavy,2.710333007127968,8.428481751454353,5.718148744326385,0.24346188998216906,0.7924506357883392,0.5489887458061702,['zero_dce_enhancement']
mixed,dark,dark_moderate,3.7996090985944435,9.675925156839787,5.876316058245344,0.41100463483747796,0.8348136249247813,0.42380899008730333,['zero_dce_enhancement']
mixed,dark,dark_mild,5.731289455401784,5.731289455401784,0.0,0.6359764568405563,0.6359764568405563,0.0,['none_required']
mixed,motion_blur,mblur_severe_h,20.168634674852306,20.168634674852306,0.0,0.7679767125362856,0.7679767125362856,0.0,['none_required']
mixed,motion_blur,mblur_moderate_h,21.602528991594795,21.602528991594795,0.0,0.79789959274659,0.79789959274659,0.0,['none_required']
mixed,motion_blur,mblur_moderate_d,21.40845078943812,21.40845078943812,0.0,0.8011016346204329,0.8011016346204329,0.0,['none_required']
mixed,motion_blur,mblur_mild_v,22.60128552036115,22.60128552036115,0.0,0.8143846745282967,0.8143846745282967,0.0,['none_required']
mixed,gaussian_blur,gblur_heavy,21.261430158949082,18.33360913981419,-2.9278210191348926,0.778752568826027,0.7292251520101991,-0.04952741681582784,['wiener_deconvolution']
mixed,gaussian_blur,gblur_mild,23.749525167427755,18.01103064307249,-5.738494524355264,0.8254986496575608,0.6990070965581254,-0.12649155309943538,['wiener_deconvolution']
mixed,combined,combined_dark_blur,2.6931433910597615,7.442473526603281,4.749330135543519,0.2279284444323113,0.6352171259855318,0.4072886815532205,"['zero_dce_enhancement', 'wiener_deconvolution']"
mixed,combined,combined_moderate,3.7679752772858093,8.359784495856438,4.591809218570629,0.37221530131294084,0.6169114091943778,0.24469610788143697,"['zero_dce_enhancement', 'wiener_deconvolution']"
mixed,dark,dark_severe,4.401033786102804,9.575578925647868,5.174545139545064,0.16580920379359904,0.6110959118653269,0.4452867080717278,"['zero_dce_enhancement', 'wiener_deconvolution']"
mixed,dark,dark_heavy,4.894571262515707,11.613369052085694,6.7187977895699875,0.25202246385442634,0.6738692110922873,0.4218467472378609,"['zero_dce_enhancement', 'wiener_deconvolution']"
mixed,dark,dark_moderate,5.98431632656773,5.98431632656773,0.0,0.4217585324550982,0.4217585324550982,0.0,['none_required']
mixed,dark,dark_mild,7.914039818368321,7.914039818368321,0.0,0.6451625281323916,0.6451625281323916,0.0,['none_required']
mixed,motion_blur,mblur_severe_h,26.660797921224578,21.86196434710086,-4.798833574123719,0.8298246018884594,0.7837708896634923,-0.046053712224967125,['wiener_deconvolution']
mixed,motion_blur,mblur_moderate_h,27.95257344860663,27.95257344860663,0.0,0.843099194945298,0.843099194945298,0.0,['none_required']
mixed,motion_blur,mblur_moderate_d,27.176350120239743,27.176350120239743,0.0,0.8377791474428804,0.8377791474428804,0.0,['none_required']
mixed,motion_blur,mblur_mild_v,28.863200511498523,28.863200511498523,0.0,0.8508045727471882,0.8508045727471882,0.0,['none_required']
mixed,gaussian_blur,gblur_heavy,27.487670669719787,22.258540485375104,-5.229130184344683,0.8308366491145114,0.7988659182564681,-0.03197073085804325,['wiener_deconvolution']
mixed,gaussian_blur,gblur_mild,29.694295600902354,22.062266170903293,-7.632029429999061,0.8538766554893621,0.785564243059956,-0.06831241242940611,['wiener_deconvolution']
